213,79,618,79,618,244,213,244
660,96,1175,96,1175,233,660,233
1350,151,1443,151,1443,202,1350,202
1285,161,1350,161,1350,213,1285,213
1460,165,1498,165,1498,185,1460,185
1533,168,1605,168,1605,192,1533,192
372,359,626,306,642,382,388,435
1515,336,1601,336,1601,350,1515,350
1384,345,1488,338,1489,354,1385,361
1313,347,1361,347,1361,360,1313,360
849,355,1112,338,1117,406,853,422
600,385,853,364,860,438,606,459
1491,382,1598,376,1599,397,1492,403
1271,391,1419,391,1419,415,1271,415
1375,516,1498,509,1501,568,1379,575
773,553,917,553,917,618,773,618
1471,567,1502,567,1502,591,1471,591
1373,579,1467,572,1469,596,1375,604
1411,601,1505,590,1507,605,1413,616
1371,605,1412,605,1412,615,1371,615
893,615,924,615,924,639,893,639
779,623,889,617,891,642,780,648
1371,618,1419,618,1419,632,1371,632
837,645,900,640,901,653,838,658
780,646,825,646,825,660,780,660
848,660,900,655,901,668,849,673
780,660,845,660,845,673,780,673
565,1002,614,995,616,1010,567,1017
1667,1126,1683,1128,1676,1180,1660,1178
2147,1150,2169,1156,2153,1220,2131,1215
1660,1182,1677,1182,1677,1213,1660,1213
