1326,498,1493,498,1493,533,1326,533
931,502,1084,502,1084,540,931,540
1091,502,1319,502,1319,536,1091,536
1430,540,1496,540,1496,575,1430,575
1347,543,1420,543,1420,578,1347,578
1420,665,1503,665,1503,692,1420,692
1215,668,1260,668,1260,692,1215,692
1264,668,1361,668,1361,692,1264,692
1361,668,1420,668,1420,692,1361,692
1111,668,1208,668,1208,699,1111,699
1025,672,1101,672,1101,703,1025,703
917,675,1021,675,1021,706,917,706
1394,794,1516,785,1519,822,1396,830
1258,802,1402,793,1404,831,1261,839
